---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/445/1822720       56589 ns        56589 ns        12269
SoAScan/446/1826816       56806 ns        56806 ns        12240
SoAScan/447/1830912       56823 ns        56823 ns        12234
SoAScan/448/1835008       76661 ns        76661 ns         9276
SoAScan/449/1839104       57152 ns        57152 ns        12279
SoAScan/450/1843200       57259 ns        57258 ns        11941
SoAScan/451/1847296       56771 ns        56771 ns        12256
SoAScan/452/1851392       56799 ns        56799 ns        12190
SoAScan/453/1855488       57006 ns        57006 ns        12294
SoAScan/454/1859584       56931 ns        56931 ns        12265
SoAScan/455/1863680       56720 ns        56720 ns        12277
SoAScan/456/1867776       56694 ns        56694 ns        12356
SoAScan/457/1871872       56685 ns        56685 ns        12296
SoAScan/458/1875968       56715 ns        56713 ns        12334
SoAScan/459/1880064       56504 ns        56504 ns        12308
SoAScan/460/1884160       56440 ns        56439 ns        12325
SoAScan/461/1888256       56509 ns        56509 ns        12335
SoAScan/462/1892352       56544 ns        56543 ns        12289
SoAScan/463/1896448       56653 ns        56653 ns        12299
SoAScan/464/1900544       56607 ns        56607 ns        12318
SoAScan/465/1904640       56671 ns        56671 ns        12343
SoAScan/466/1908736       56696 ns        56696 ns        12320
SoAScan/467/1912832       56853 ns        56853 ns        12289
SoAScan/468/1916928       56891 ns        56891 ns        12305
SoAScan/469/1921024       57232 ns        57232 ns        12258
SoAScan/470/1925120       56439 ns        56437 ns        12266
SoAScan/471/1929216       56943 ns        56942 ns        12283
SoAScan/472/1933312       56712 ns        56712 ns        12274
SoAScan/473/1937408       56607 ns        56607 ns        12299
SoAScan/474/1941504       56580 ns        56580 ns        12277
SoAScan/475/1945600       56636 ns        56635 ns        12314
SoAScan/476/1949696       56771 ns        56771 ns        12279
SoAScan/477/1953792       56749 ns        56749 ns        12262
SoAScan/478/1957888       56637 ns        56637 ns        12254
SoAScan/479/1961984       56863 ns        56863 ns        12214
SoAScan/480/1966080       58794 ns        58792 ns        11798
SoAScan/481/1970176       56812 ns        56812 ns        12274
SoAScan/482/1974272       56769 ns        56769 ns        12321
SoAScan/483/1978368       57407 ns        57407 ns        12223
SoAScan/484/1982464       56923 ns        56923 ns        12338
SoAScan/485/1986560       60454 ns        60450 ns        12341
SoAScan/486/1990656       56483 ns        56482 ns        12390
SoAScan/487/1994752       56583 ns        56583 ns        12325
SoAScan/488/1998848       56405 ns        56406 ns        12354
SoAScan/489/2002944       56384 ns        56384 ns        12366
SoAScan/490/2007040       56390 ns        56389 ns        12393
SoAScan/491/2011136       56479 ns        56478 ns        12414
SoAScan/492/2015232       56292 ns        56292 ns        12443
SoAScan/493/2019328       56311 ns        56311 ns        12403
SoAScan/494/2023424       56135 ns        56134 ns        12414
SoAScan/495/2027520       56253 ns        56252 ns        12403
SoAScan/496/2031616       56180 ns        56180 ns        12446
SoAScan/497/2035712       56084 ns        56083 ns        12460
SoAScan/498/2039808       55987 ns        55988 ns        12417
SoAScan/499/2043904       55996 ns        55996 ns        12435
SoAScan/500/2048000       56132 ns        56131 ns        12462
SoAScan/501/2052096       56850 ns        56850 ns        12334
SoAScan/502/2056192       56233 ns        56233 ns        12393
SoAScan/503/2060288       56791 ns        56791 ns        12361
SoAScan/504/2064384       56844 ns        56844 ns        12390
SoAScan/505/2068480       56829 ns        56829 ns        12332
SoAScan/506/2072576       56863 ns        56862 ns        12258
SoAScan/507/2076672       56923 ns        56922 ns        12271
SoAScan/508/2080768       57050 ns        57050 ns        12242
SoAScan/509/2084864       56932 ns        56932 ns        12309
SoAScan/510/2088960       56991 ns        56989 ns        12307
SoAScan/511/2093056       56949 ns        56948 ns        12236
SoAScan/512/2097152      182012 ns       182014 ns         3802
SoAScan/513/2101248       56372 ns        56372 ns        12389
SoAScan/514/2105344       56453 ns        56453 ns        12344
SoAScan/515/2109440       56720 ns        56719 ns        12242
SoAScan/516/2113536       56781 ns        56781 ns        12296
SoAScan/517/2117632       56779 ns        56780 ns        12323
SoAScan/518/2121728       56843 ns        56843 ns        12334
SoAScan/519/2125824       56994 ns        56994 ns        12263
SoAScan/520/2129920       56623 ns        56622 ns        12254
