---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/499/2043904       51212 ns        51211 ns        13514
SoAScan/500/2048000       51201 ns        51200 ns        13559
SoAScan/501/2052096       51532 ns        51531 ns        13451
SoAScan/502/2056192       51265 ns        51266 ns        13547
SoAScan/503/2060288       51323 ns        51323 ns        13376
SoAScan/504/2064384       51920 ns        51920 ns        13577
SoAScan/505/2068480       51546 ns        51546 ns        13388
SoAScan/506/2072576       51884 ns        51884 ns        13342
SoAScan/507/2076672       52022 ns        52023 ns        13349
SoAScan/508/2080768       51727 ns        51728 ns        13357
SoAScan/509/2084864       51931 ns        51932 ns        13359
SoAScan/510/2088960       51822 ns        51820 ns        13394
SoAScan/511/2093056       51844 ns        51844 ns        13400
SoAScan/512/2097152      168906 ns       168902 ns         3952
SoAScan/513/2101248       51295 ns        51295 ns        13590
SoAScan/514/2105344       51530 ns        51531 ns        13458
SoAScan/515/2109440       51591 ns        51591 ns        13460
SoAScan/516/2113536       51561 ns        51562 ns        13491
SoAScan/517/2117632       51726 ns        51726 ns        13462
SoAScan/518/2121728       51699 ns        51699 ns        13450
SoAScan/519/2125824       51758 ns        51758 ns        13469
SoAScan/520/2129920       51562 ns        51562 ns        13445
